"Tx & Rx configuration: _04.r004.  Date: November 7, 2018, 12:00:00",,,
TX ID,Rx ID,<Distance(m)>,<Power(dBm)>
21,13,65.6292,-69.0673
21,14,41.6111,-58.398
21,15,29.5566,-53.6907
21,16,41.589,-57.464
21,17,65.6013,-75.0874
21,18,92.6786,-72.5965
21,19,58.6808,-59.9605
21,20,29.3237,-53.0684
21,22,29.1907,-59.6882
21,23,58.4477,-73.6017
21,24,87.7381,-71.6782
21,25,69.2967,-70.4827
21,26,47.0956,-65.9538
21,27,36.8126,-56.6115
21,28,46.9293,-63.3873
21,29,69.0318,-60.4834
21,30,95.0579,-60.2084
22,1,117.949,-66.7714
22,2,98.0966,-62.7048
22,3,84.0922,-64.0424
22,4,79.0173,-58.1836
22,5,84.4044,-75.3231
22,6,98.4988,-68.4836
22,7,103.299,-71.4038
22,8,79.8881,-72.0623
22,9,61.8154,-62.3729
22,10,54.6198,-64.0235
22,11,62.0501,-71.8174
22,12,80.1588,-62.8572
22,13,92.6242,-68.8589
22,14,65.525,-61.3881
22,15,41.4703,-66.1577
22,16,29.5566,-60.7266
22,17,41.6828,-54.0008
22,18,65.6752,-70.4197
22,19,87.8714,-60.4439
22,20,58.5144,-57.2239
22,21,29.1907,-58.2631
22,23,29.2571,-62.6765
22,24,58.5475,-67.7992
22,25,95.3172,-69.2621
22,26,69.1914,-73.4978
22,27,47.0804,-59.2088
22,28,36.8459,-60.4582
22,29,47.0175,-61.8688
22,30,69.0882,-63.7307
23,1,141.096,-72.3596
23,2,117.905,-72.0598
23,3,98.1439,-67.32
23,4,84.2402,-71.7454
23,5,79.1505,-67.1249
23,6,84.4553,-58.3416
23,7,129.099,-66.6924
23,8,103.249,-65.0914
23,9,79.909,-62.3658
23,10,61.9485,-60.1561
23,11,54.6864,-54.709
23,12,62.0795,-73.6035
23,13,120.727,-71.9025
23,14,92.6032,-84.3693
23,15,65.4359,-58.2984
23,16,41.5879,-59.5366
23,17,29.6565,-57.2249
23,18,41.7299,-54.9891
23,19,117.128,-68.1461
23,20,87.7714,-62.9173
23,21,58.4477,-56.9303
23,22,29.2571,-51.09
23,24,29.2904,-55.337
23,25,122.815,-74.0201
23,26,95.2252,-59.7473
23,27,69.1737,-53.2866
23,28,47.0749,-57.5555
23,29,36.8126,-61.7293
23,30,46.9654,-63.2093
24,1,166.195,-82.4715
24,2,141.048,-80.1009
24,3,117.922,-80.9231
24,4,98.2836,-67.6089
24,5,84.3454,-59.0675
24,6,79.1838,-62.534
24,7,156.143,-72.9475
24,8,129.053,-70.5082
24,9,103.266,-67.1284
24,10,80.0258,-63.5834
24,11,61.9778,-73.8143
24,12,54.6864,-54.6718
24,13,149.3,-70.7749
24,14,120.727,-74.4936
24,15,92.519,-76.8795
24,16,65.5698,-63.841
24,17,41.6352,-68.815
24,18,29.6565,-55.5753
24,19,146.419,-68.4825
24,20,117.062,-75.3579
24,21,87.7381,-62.6458
24,22,58.5475,-60.631
24,23,29.2904,-58.4956
24,25,151.016,-63.7535
24,26,122.762,-64.0059
24,27,95.2559,-67.2053
24,28,69.23,-61.0464
24,29,47.0749,-53.3056
24,30,36.7793,-67.9905
25,1,115.621,-72.8112
25,2,119.339,-64.8525
25,3,129.846,-71.1141
25,4,145.508,-79.8309
25,5,164.939,-74.7639
25,6,186.88,-70.2605
25,7,91.266,-64.1761
25,8,95.9461,-63.9585
25,9,108.617,-69.197
25,10,126.91,-65.4688
25,11,148.748,-70.474
25,12,172.759,-72.1933
25,13,66.3027,-63.7096
25,14,72.5317,-66.0679
25,15,88.6433,-79.0723
25,16,110.186,-66.1934
25,17,134.76,-75.1009
25,18,160.893,-72.7828
25,19,36.7461,-56.3818
25,20,47.0903,-61.5867
25,21,69.2967,-66.7038
25,22,95.3172,-59.9579
25,23,122.815,-82.7226
25,24,151.016,-63.2847
25,26,29.3569,-47.3097
25,27,58.614,-72.3918
25,28,87.8379,-77.0537
25,29,117.128,-65.852
25,30,146.385,-81.1002
26,1,119.281,-79.3597
26,2,115.664,-71.7837
26,3,119.468,-69.1916
26,4,129.889,-67.6047
26,5,145.554,-68.5726
26,6,164.892,-70.1204
26,7,95.8601,-59.6904
26,8,91.3326,-63.1575
26,9,95.9892,-78.5115
26,10,108.658,-70.7545
26,11,126.912,-78.4544
26,12,148.69,-76.2906
26,13,72.4942,-64.6373
26,14,66.336,-61.7689
