Heliostat ID,Position X [m],Position Y [m]
111,387.673,193.844
112,420.312,349.613
113,49.634,703.131
114,-325.386,108.954
115,-49.634,703.131
116,271.832,615.727
117,-383.734,478.834
118,-43.025,703.567
119,-413.976,317.888
120,398.564,217.564
121,-36.4122,703.94
122,-410.383,399.357
123,43.025,703.567
124,36.4122,703.94
125,-271.832,615.727
126,-350.831,137.55
127,-29.7962,704.251
128,-23.1775,704.5
129,29.7962,704.251
130,281.007,75.3411
131,23.1775,704.5
132,263.81,619.206
133,-417.153,333.449
134,-16.5568,704.687
135,-3.31166,704.873
136,-9.93469,704.811
137,16.5568,704.687
138,9.93469,704.811
139,3.31166,704.873
140,346.134,125.036
141,-263.81,619.206
142,-410.354,302.58
143,363.502,512.28
144,340.645,544.957
145,-331.628,115.574
146,-414.251,297.224
147,-77.5217,684.596
148,77.5217,684.596
149,-398.564,217.564
150,343.828,131.246
151,307.983,581.317
152,-340.645,544.957
153,-363.502,512.28
154,-348.298,143.844
155,35.5757,497.016
156,415.734,355.044
157,377.481,483.779
158,-35.5757,497.016
159,-307.983,581.317
160,197.863,659.948
161,418.071,312.483
162,-414.078,277.183
163,-408.411,382.227
164,390.06,455.582
165,-197.863,659.948
166,-233.277,440.31
167,-281.007,75.3411
168,-377.481,483.779
169,-413.342,376.889
170,300.405,585.27
171,333.536,549.337
172,-133.494,16.1542
173,400.874,427.264
174,-390.06,455.582
175,356.816,516.959
176,401.67,233.552
177,-300.405,585.27
178,-136.38,20.7909
179,-333.536,549.337
180,196.033,29.7507
181,-356.816,516.959
182,-400.874,427.264
183,255.743,622.582
184,405.16,404.655
185,-369.17,164.267
186,-255.743,622.582
187,413.976,317.888
188,233.277,440.31
189,-401.67,233.552
190,394.894,201.918
191,-405.16,404.655
192,-366.153,170.886
193,154.059,671.526
194,410.354,302.58
195,371.164,488.642
196,-154.059,671.526
197,-402.962,293.108
198,326.371,553.624
199,408.411,382.227
200,380.34,185.917
201,414.251,297.224
202,-132.244,24.3572
203,247.633,625.852
204,172.925,666.917
205,391.195,208.994
206,404.614,250.12
207,395.289,432.436
208,-172.925,666.917
209,-326.371,553.624
210,413.342,376.889
211,-371.164,488.642
212,-247.633,625.852
213,350.07,521.551
214,292.776,589.123
215,286.835,80.6771
216,-412.786,338.841
217,258.631,55.9428
218,147.742,672.944
219,-292.776,589.123
220,-395.289,432.436
